COMPLAINT ID,COMPLAINT TYPE,STREET NUMBER FROM,STREET NUMBER TO,DIRECTION,STREET NAME,STREET TYPE,INSPECTOR,COMPLAINT DATE,COMPLAINT DETAIL,INSPECTION LOG,DATA SOURCE,Modified Date
DOECOMP13295,Noise Complaint,2746,,S,MILLARD,AVE,25,06/30/1995,RESIDENTIAL AREA                    NOISE FROM CONSTRUCTION.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP14923,Noise Complaint,3133,,W,SHERWIN,AVE,67,10/10/2003,CONST SITE                          CONSTRUCTION WORK BEFORE 7 AM MAKING A LOT OF NOISE.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP15745,Noise Complaint,3227,,N,PANAMA,AVE,234,10/11/2005,RESIDENTIAL BLDG.                   NOISE BEFORE ORDINANCE HOURS AT 5 AM DAILY DURING CONSTRUCTION. THERE IS NO TYPE OF CONSTRUCTION BEING DONE AT THIS ADDRESS OR ANYWHERE IN THE VICINITY. THIS COMPLAINANT IS NOT VALID.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP16741,Noise Complaint,3439,,N,HARLEM,AVE,14,09/14/1993,CA 921-108 COURT DATE 11/15/93 VERY LOUD NOISE.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP16901,Noise Complaint,3348,,N,LAKEWOOD,AVE,35,05/16/1995,HENEGHAN BUILDERS                   EARLY CONSTRUCTION NOISE BEFORE ORDINANCE HOURS VERBAL WARNING GIVEN.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP17067,Noise Complaint,3330,,N,WESTERN,AVE,67,04/12/2000,RIVERVIEW PLAZA                     LOUD PARKING LOT VACUUM CLEANERS NOISE BEGIN AT 4:00 AM.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP17256,Noise Complaint,3500,,S,PRAIRIE,AVE,11,06/23/2000,RESIDENTIAL AREA                    ILLEGAL DUMPING OF CONCRETE ROCKS ETC BEING DONE IN ALLEY.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP17299,Noise Complaint,3521,,S,KOSTNER,AVE,16,09/14/1995,RESIDENTIAL AREA,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP22944,Noise Complaint,4632,,W,FULLERTON,AVE,14,08/05/1994,R & R ROOFING                       EARLY MORNING NOISE FROM R & R ROOFING CO.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP22963,Noise Complaint,4721,,N,LINCOLN,AVE,35,10/12/1994,ILLINOIS RECYCLING                  PRIVATE SCAVENGER PICK UP AT 4:30 AM EVERY MORNING.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP25310,Noise Complaint,5225,,W,PENSACOLA,AVE,25,05/11/1995,RESIDENTIAL AREA                    BURNING OF WOOD FROM TREE IN YARD VERBAL WARNING GIVEN.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP25961,Noise Complaint,5450,,N,CUMBERLAND,AVE,48,06/20/2002,CONSTRUCTION SITE                   UNLOADING OF PAVING EQUIPMENT BEGAN AT 6:30 AM. NO CONSTRUCTION ACTIVITY TAKING PLACE.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP26123,Noise Complaint,535,,N,MICHIGAN,AVE,77,07/24/2001,PUBLIC WAY                          VERY LOUD MUSIC COMING FROM STREET VENDORS. NO ACTIVITY OF THIS KIND WAS OBSERVED AT THIS TIME.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP26309,Noise Complaint,5556,,N,WESTERN,AVE,11,03/25/1996,BRYN MAWR & WESTERN SERVICE INC.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP26745,Noise Complaint,555,,N,MICHIGAN,AVE,77,06/27/2003,THE GAP                             HIGH PITCH NOISE COMING FROM ROOF HVAC UNIT. HVAC UNIT ON ROOFTOP CAUSING HIGH PITCHED NOISE WHICH EXCEEDS CODE LIMITS.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP27333,Noise Complaint,5719,,N,KENNETH,AVE,16,06/27/1996,RESIDENTIAL AREA                    VERY LOUD A/C UNIT.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP28219,Noise Complaint,6056,,N,LAWNDALE,AVE,24,05/23/1994,LAND SCRAPER COMES OUT ON MONDAY MORNING USING BLOWER THAT CAUSE A NUISANCE PROBLEM.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP28384,Noise Complaint,6150,,N,KENMORE,AVE,11,08/28/1993,,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP29274,Noise Complaint,625,,N,MICHIGAN,AVE,16,01/31/1995,VERY LOUD NOISE.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP30177,Noise Complaint,6815,,W,BELMONT,AVE,14,03/14/1994,BROWINING FERRIS                    CA 920-917 COURT DATE 5/10/94 FOR EARLY MORNING PICK-UP BY SCAVENGER. BROWNING FERRIS.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP30560,Noise Complaint,7225,,S,FRANCISCO,AVE,16,07/06/1993,AIR CONDITION UNIT MAKES LOUD NOISE.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP33327,Noise Complaint,8440,,W,CATHERINE,AVE,86,05/07/2002,KIEFER BAUM CONSTRUCTION            EARLY MORNING CONSTRUCTION OF GARAGE OCCURRING ALSO EARLY DELIVERIES.  OBSERVED NO EARLY MORNING CONSTRUCTION.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP33377,Noise Complaint,8700,,W,CATHERINE,AVE,14,08/20/1996,SAM ZITELLA REALTOR                 DOING CONST. WORK BEFORE ORDINANCE HOURS STARTS AT 5:45AM CAUSING VERY LOUD NOISE. I EXPLAINED TO LENNY ABOUT ORDINANCE HOURS & HE WOULD LET PROJECT,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP33834,Noise Complaint,9201,,S,BENNETT,AVE,18,10/04/1993,RUNNING POSSIBLE ILLEGAL AUTO BODY SHOP OUT OF HOME.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP34607,Noise Complaint,935,,N,DAMEN,AVE,22,07/02/2009,SWEET CAKES BAKERY                  FAN ON THE BLDG IN CREATING LOUD NOISE AT 5;15 AM. OWNER WILL REPAIR EXHAUST FAN MOTOR.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP34692,Noise Complaint,1102,,N,ASHLAND,AVE,16,07/08/1996,EL NORTHERNO LOUNGE                 LOUD BANDS ESPECIALLY ON WEEKENDS.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP35138,Noise Complaint,1540,,N,MILWAUKEE,AVE,77,01/17/2002,SINIBAR                             NOISY NIGHT CLUB ON WEEKDAYS. MUSIC WAS NOT AUDIBLE ON THE PUBLIC WAY. MUSIC WAS BEING PLAYED AT THIS TIME. MANAGER AGREED TO COMPLY WTH  ORDINANCE.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP35990,Noise Complaint,2140,,N,LINCOLN,AVE,11,09/21/1999,TOULOUSE RESTURANT                  AIR CONDITION COMPRESSOR UNIT MAKING LOUD NOISE. SPOKE WITH MANAGER SHO SAID THEY HAD DONE SOME WORK ON THE COOLING UNIT IN QUESTION.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP36131,Noise Complaint,1806,,W,HADDON,AVE,67,10/28/2004,RESIDENTIAL BLDG.                   CONTRACTOR START WORK BEFORE ORDINANCE HOUR AT 6:30 AM CREATING LOUD NOISE.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP36210,Noise Complaint,1750,,W,BELMONT,AVE,24,06/18/1993,POMER MCZ CONSTRUCTION              CA 921-072 COURT DAT 8/5/93 FOR THROWING DEBRIS OUT THE SECOND & THIRD FLOOR WINDOW & LOUD NOISE.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP36218,Noise Complaint,1883,,N,MILWAUKEE,AVE,81,02/07/2011,LOUD NOISE FROM WORK INSIDE THIS FACILITY. THIS INVESTIGATION DETECTED NO AUDIBLE NOISE EMANATING FROM WITHIN. THERE WAS NO ANSWER AT THE DOOR.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP36295,Noise Complaint,1909,,N,CLIFTON,AVE,69,06/19/2002,GENERAL IRON                        7:15 AM VERY LOUD LARGE EXPLOSION.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP36325,Noise Complaint,2011,,W,NORTH,AVE,11,03/17/1998,SUBTERRANEAN BAR                    LOUD MUSIC & NOISE COMING FROM BAR IS VERY DISTURB TO NEIGHBORS.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP37002,Noise Complaint,2430,,S,NORMAL,AVE,81,02/05/2002,MATERIALS STORAGE YARD              NOISE UNDER THE STEVENSON EXPRESSWAY. FOUND LOCATION IN QUESTION TO BE A MATERIALS STORAGE YARD.  THE ENTRANCE GATE WAS LOCKED.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP37692,Noise Complaint,3330,,N,WESTERN,AVE,77,07/14/2011,CONSTRUCTION GOING ON OVERNIGHT IN VIOLATION OF THE NOISE VIOLATION. NO ONE ON SITE AT THE TIME OF INSPECTION.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP38211,Noise Complaint,400,,N,MICHIGAN,AVE,77,05/22/2001,WRIGLEY BLDG./PUBLIC WAY            EXTREMELY LOUD NOISES FROM KIDS BEATING ON BUCKETS GOING ON NOW. NO ACTIVITY OF THAT NATURE WAS OBSERVED AT THIS TIME.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP38237,Noise Complaint,4141,,N,NARRAGANSETT,AVE,35,03/22/2006,4100 DEVELOPMENT GROUP              CONTRACTOR'S START WORK BEFORE ORDINANCE AT 6:30 AM WITH HEAVY EQUIPMENT CAUSING LOUD NOISE.  SPOKE WITH PROJECT MANAGER MR. SCHULTZ HE STATED HE IS AWARE OF THE ORDINANCE BUT HIS WORKERS DO NOT START BEFORE 8 AM. I INFORMED HIM THAT IF I SEE THAT THEY WORK BEFORE ORDINANCE HOURS A CITATION WILL BE ISSUE.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP39088,Noise Complaint,4800,,W,LAWRENCE,AVE,120,08/10/2009,WEE CAR WASH                        AIR HOLES ARE MAKING TO MUCH NOISE AT ABOVE LOCATION. BUSINESS CONDUCTED DURING PROPER HOURS.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP39490,Noise Complaint,6240,,N,WESTERN,AVE,76,10/05/2000,TRACK AUTO/PROPERTY OWNERS          HEAVY EQUIPMENT CAUSING NOISE BY MAINTENANCE WORK. I DID NOT OBSERVED LARGE CLEANING MACHIINE IN THE LOT.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP39611,Noise Complaint,5811,,N,ARTESIAN,AVE,81,08/24/2001,RESIDENTIAL BLDG.                   A/C UNIT IS CREATING VERY LOUD NOISE. RESPONDENT CAUSED & ALLOWED SOUND PRESSURE LEVEL TO EXCEED ORDINANCE WHILE OPERATING CENTRAL A/C UNIT.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP39628,Noise Complaint,5757,,S,WOODLAWN,AVE,67,06/20/2002,HISTORIC PROPERTY                   EXTREMELY LOUD & DUST IS ALL OVER THE AREA.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP39630,Noise Complaint,5814,,N,MASON,AVE,11,12/10/1998,RESIDENTIAL AREA                    BLDG IS BEING RENOVATED (GUTTED) WORKERS BEING SHIFT AT 6:00 AM. DID FIND SOME REMODELING DEBRIS AT THE REAR OF THE ADDRESS ON THE GARAGE APRON.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP39784,Noise Complaint,6100,,S,HAMILTON,AVE,17,11/02/2000,CSX TRAIN                           NOISE IS VERY HIGH BLOWING HORNS SEVERAL TIMES DAY AND NIGHT.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP40084,Noise Complaint,9121,,S,HAMILTON,AVE,16,12/27/1993,NOISE FROM TENNIS COURT.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP34881,Noise Complaint,111,,W,JACKSON,BLVD,45,07/16/1996,GENERAL PARKING CO.                 INSTALLED BUZZER DEVICE THAT IS TRIGGERED. OBSERVE A WARNING DEVICE AT ENTRACE & EXIT OF PARKING LOT BUZZER NOISE WAS EXCESSIVE OF CITY ORDINANCE.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP13990,Noise Complaint,2754,,N,HAMPDEN,CT,57,01/27/1999,HAMPDEN COURT                       DAILY GARBAGE PICK UP IS CAUSING EXCESSIVE NOISE.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP28917,Noise Complaint,633,,S,PLYMOUTH,CT,24,02/11/1993,,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP33691,Noise Complaint,900,,S,COLUMBUS,DR,10,06/03/1994,NOISE FROM AMPLIFIED EQUIPMENT BANDS PLAYING DURING BLUES FEST. GRANT PARK.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP36467,Noise Complaint,2951,,S,DR MARTN LUTHR KING JR,DR,21,05/18/1998,CONCERTS MAKE TOO MUCH NOISE. HIGH RISE APT.BLDG. MORE INFORMATION & MORE SPECIFIC INFORMATION IS NEED ON THIS NOISE COMPLAINT.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP40231,Noise Complaint,7447,,S,SOUTH SHORE,DR,18,10/20/1994,SOUTH SHORE BEACH APARTMENT         HEAVY NOISE POLLUTION FROM MACHINE UNIT BEING USED FOR PARKING LOT REPAIRS.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP30286,Noise Complaint,6833,,N,NORTHWEST,HWY,24,04/15/1994,EARLY CONSTRUCTION STARTS AT 5:15 AM HEAVY NOISE POLLUTION.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP38802,Noise Complaint,5475,,N,NORTHWEST,HWY,77,03/31/2006,KCP METAL                           FACTORY NOISE UNTIL 12 AM DAILY. NOISE EVIDENT FROM FACTORY NOT EXCESSIVE OF CODE LIMITS.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP19026,Noise Complaint,400,,E,91ST,PL,56,09/19/2000,CSX                                 SHAKING & VIBRATION FROM THE TRAINS PASSING BY ALSO VERY LOUD NOISE.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP28688,Noise Complaint,635,,S,FINANCIAL,PL,16,12/06/1995,PARKING LOT,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP39301,Noise Complaint,6949,,W,63RD,PL,35,11/14/1994,ST. RENE CHURCH                     LOUD NOISE FROM CHURCH BELL CAUSING PROBLEM IN RESIDENTS.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP27674,Noise Complaint,6033,,N,SHERIDAN,RD,81,12/06/2001,GOLF CONSTRUCTION                   CONSTRUCTION NOISE.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP43,Noise Complaint,1,,N,STATE,ST,25,11/25/1994,NOISE FROM BAND PLAYING MUSIC.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
